zone,year,metric,arima_forecast,arima_lower_95,arima_upper_95,arima_order,arima_aic
US-Mexico Border,2026,mp_count,32.0652,1.4271,62.7032,"(3,2,3)",388.1968
US-Mexico Border,2027,mp_count,1.8998,0.0,49.0524,"(3,2,3)",388.1968
US-Mexico Border,2028,mp_count,11.1239,0.0,72.6947,"(3,2,3)",388.1968
US-Mexico Border,2029,mp_count,15.3616,0.0,80.2999,"(3,2,3)",388.1968
US-Mexico Border,2030,mp_count,19.404,0.0,91.7681,"(3,2,3)",388.1968
US-Mexico Border,2026,bodies_count,24.21,0.0,83.1174,"(0,2,1)",431.1632
US-Mexico Border,2027,bodies_count,24.42,0.0,108.6329,"(0,2,1)",431.1632
US-Mexico Border,2028,bodies_count,24.6301,0.0,128.8665,"(0,2,1)",431.1632
US-Mexico Border,2029,bodies_count,24.8401,0.0,146.4559,"(0,2,1)",431.1632
US-Mexico Border,2030,bodies_count,25.0501,0.0,162.4088,"(0,2,1)",431.1632
I-35 Corridor,2026,mp_count,69.4892,37.8965,101.0819,"(0,2,1)",376.352
I-35 Corridor,2027,mp_count,70.9783,25.8162,116.1405,"(0,2,1)",376.352
I-35 Corridor,2028,mp_count,72.4675,16.5697,128.3653,"(0,2,1)",376.352
I-35 Corridor,2029,mp_count,73.9567,8.7422,139.1712,"(0,2,1)",376.352
I-35 Corridor,2030,mp_count,75.4459,1.7931,149.0987,"(0,2,1)",376.352
I-35 Corridor,2026,bodies_count,15.1527,5.1371,25.1682,"(1,1,0)",278.8556
I-35 Corridor,2027,bodies_count,13.9942,2.9621,25.0262,"(1,1,0)",278.8556
I-35 Corridor,2028,bodies_count,14.6177,1.2629,27.9724,"(1,1,0)",278.8556
I-35 Corridor,2029,bodies_count,14.2821,0.0,28.9086,"(1,1,0)",278.8556
I-35 Corridor,2030,bodies_count,14.4627,0.0,30.5948,"(1,1,0)",278.8556
Pacific Northwest,2026,mp_count,16.5636,8.9212,24.206,"(0,1,1)",255.1066
Pacific Northwest,2027,mp_count,16.5636,8.736,24.3913,"(0,1,1)",255.1066
Pacific Northwest,2028,mp_count,16.5636,8.555,24.5723,"(0,1,1)",255.1066
Pacific Northwest,2029,mp_count,16.5636,8.378,24.7492,"(0,1,1)",255.1066
Pacific Northwest,2030,mp_count,16.5636,8.2048,24.9225,"(0,1,1)",255.1066
Pacific Northwest,2026,bodies_count,3.2387,0.0,6.6417,"(0,1,2)",185.3604
Pacific Northwest,2027,bodies_count,3.4784,0.0,7.4994,"(0,1,2)",185.3604
Pacific Northwest,2028,bodies_count,3.4784,0.0,7.5048,"(0,1,2)",185.3604
Pacific Northwest,2029,bodies_count,3.4784,0.0,7.5101,"(0,1,2)",185.3604
Pacific Northwest,2030,bodies_count,3.4784,0.0,7.5155,"(0,1,2)",185.3604
Midwest Metro,2026,mp_count,17.1177,8.5394,25.6961,"(3,1,3)",277.3944
Midwest Metro,2027,mp_count,16.4969,6.129,26.8649,"(3,1,3)",277.3944
Midwest Metro,2028,mp_count,20.1765,7.7524,32.6007,"(3,1,3)",277.3944
Midwest Metro,2029,mp_count,19.1376,6.4296,31.8456,"(3,1,3)",277.3944
Midwest Metro,2030,mp_count,19.7286,6.1855,33.2718,"(3,1,3)",277.3944
Midwest Metro,2026,bodies_count,10.7588,0.9341,20.5835,"(2,1,1)",281.5852
Midwest Metro,2027,bodies_count,12.3838,1.214,23.5536,"(2,1,1)",281.5852
Midwest Metro,2028,bodies_count,8.1819,0.0,20.5489,"(2,1,1)",281.5852
Midwest Metro,2029,bodies_count,12.5125,0.0,27.1948,"(2,1,1)",281.5852
Midwest Metro,2030,bodies_count,9.5049,0.0,24.9065,"(2,1,1)",281.5852
Northeast Corridor,2026,mp_count,30.2111,21.0577,39.3646,"(2,1,3)",281.7225
Northeast Corridor,2027,mp_count,28.7107,17.891,39.5303,"(2,1,3)",281.7225
Northeast Corridor,2028,mp_count,27.8699,16.579,39.1608,"(2,1,3)",281.7225
Northeast Corridor,2029,mp_count,30.6828,17.8423,43.5232,"(2,1,3)",281.7225
Northeast Corridor,2030,mp_count,26.5641,13.2814,39.8468,"(2,1,3)",281.7225
Northeast Corridor,2026,bodies_count,28.4659,0.0,65.0547,"(0,2,1)",389.2675
Northeast Corridor,2027,bodies_count,28.9319,0.0,81.2365,"(0,2,1)",389.2675
Northeast Corridor,2028,bodies_count,29.3978,0.0,94.1365,"(0,2,1)",389.2675
Northeast Corridor,2029,bodies_count,29.8637,0.0,105.3935,"(0,2,1)",389.2675
Northeast Corridor,2030,bodies_count,30.3296,0.0,115.6332,"(0,2,1)",389.2675
Southern California,2026,mp_count,34.3322,13.9033,54.7612,"(0,2,1)",337.9779
Southern California,2027,mp_count,34.6645,5.4606,63.8683,"(0,2,1)",337.9779
Southern California,2028,mp_count,34.9967,0.0,71.1433,"(0,2,1)",337.9779
Southern California,2029,mp_count,35.329,0.0,77.5008,"(0,2,1)",337.9779
Southern California,2030,mp_count,35.6612,0.0,83.2905,"(0,2,1)",337.9779
Southern California,2026,bodies_count,13.3552,0.0,30.2504,"(0,2,1)",321.2669
Southern California,2027,bodies_count,12.7104,0.0,36.8626,"(0,2,1)",321.2669
Southern California,2028,bodies_count,12.0657,0.0,41.9594,"(0,2,1)",321.2669
Southern California,2029,bodies_count,11.4209,0.0,46.2976,"(0,2,1)",321.2669
Southern California,2030,bodies_count,10.7761,0.0,50.1661,"(0,2,1)",321.2669
