State,County,decade,mp_lisa_i,mp_lisa_cluster,mp_lisa_p,bodies_lisa_i,bodies_lisa_cluster,bodies_lisa_p
AK,Aleutians East,2000,32.839947,HH,0.001,0.00103,NS,0.772
AK,Aleutians West,2000,26.280462,HH,0.001,0.00103,NS,0.767
AK,Anchorage,2000,0.026508,NS,0.184,0.000577,NS,0.884
AK,Bethel,2000,10.90592,HH,0.001,0.00103,NS,0.762
AK,Bristol Bay,2000,22.827535,HH,0.001,0.00103,NS,0.765
AK,Denali,2000,29.300819,HH,0.001,0.00103,NS,0.776
AK,Dillingham,2000,66.629585,HH,0.001,0.00103,NS,0.771
AK,Fairbanks North Star,2000,0.199257,HH,0.015,0.000642,NS,0.897
AK,Juneau,2000,-0.080781,LH,0.044,0.000927,NS,0.789
AK,Kenai Peninsula,2000,4.768977,HH,0.001,0.000334,NS,0.936
AK,Ketchikan Gateway,2000,1.449817,HH,0.005,0.00103,NS,0.784
AK,Kodiak Island,2000,9.322988,HH,0.001,0.00103,NS,0.78
AK,Kusilvak,2000,5.273707,HH,0.001,0.00103,NS,0.778
AK,Lake and Peninsula,2000,17.03446,HH,0.001,0.00103,NS,0.76
AK,Matanuska-Susitna,2000,0.413941,HH,0.008,0.000799,NS,0.857
AK,Nome,2000,15.038742,HH,0.001,-0.011479,HL,0.027
AK,North Slope,2000,3.015216,HH,0.001,0.00103,NS,0.763
AK,Northwest Arctic,2000,5.338651,HH,0.001,-0.001765,NS,0.296
AK,Petersburg,2000,14.086309,HH,0.001,0.00103,NS,0.78
AK,Prince of Wales – Hyder,2000,-0.801954,LH,0.003,0.00103,NS,0.757
AK,Sitka,2000,-0.757827,LH,0.002,0.00103,NS,0.77
AK,Skagway Yakutat Angoon,2000,-0.777904,LH,0.001,0.00103,NS,0.755
AK,Valdez–Cordova,2000,-0.566989,LH,0.003,0.00103,NS,0.775
AK,Wrangell Petersburg,2000,-0.755256,LH,0.004,0.00103,NS,0.762
AK,Yukon–Koyukuk,2000,-0.80156,LH,0.004,0.00103,NS,0.768
AL,Autauga,2000,0.024311,NS,0.199,0.001322,NS,0.607
AL,Baldwin,2000,0.018595,NS,0.292,0.001985,NS,0.074
AL,Blount,2000,0.024311,NS,0.192,0.00135,NS,0.608
AL,Calhoun,2000,0.020576,NS,0.245,0.001985,NS,0.063
AL,Chilton,2000,0.013427,NS,0.435,0.001985,NS,0.063
AL,Coffee,2000,0.01447,NS,0.414,0.001985,NS,0.063
AL,Colbert,2000,0.016339,NS,0.351,0.001985,NS,0.06
AL,Cullman,2000,0.018908,NS,0.296,0.001985,NS,0.058
AL,Dallas,2000,-0.006938,NS,0.653,0.001985,NS,0.063
AL,Elmore,2000,0.018733,NS,0.295,0.001537,NS,0.46
AL,Escambia,2000,0.000379,NS,0.963,0.001985,NS,0.065
AL,Franklin,2000,0.010035,NS,0.541,0.001985,NS,0.061
AL,Henry,2000,-0.002249,NS,0.862,0.001985,NS,0.059
AL,Jackson,2000,0.007612,NS,0.664,0.001985,NS,0.07
AL,Jefferson,2000,0.017747,NS,0.322,0.001564,NS,0.424
AL,Lee,2000,0.017701,NS,0.316,0.001985,NS,0.057
AL,Lowndes,2000,-0.014711,NS,0.391,0.001985,NS,0.064
AL,Macon,2000,0.005587,NS,0.709,0.001985,NS,0.066
AL,Madison,2000,0.021476,NS,0.227,0.001985,NS,0.069
AL,Marion,2000,0.009944,NS,0.569,0.001985,NS,0.067
AL,Mobile,2000,0.012252,NS,0.5,0.0019,NS,0.119
AL,Montgomery,2000,0.016584,NS,0.35,0.001985,NS,0.063
AL,Morgan,2000,0.01667,NS,0.353,0.001985,NS,0.071
AL,Pickens,2000,0.002678,NS,0.828,0.001985,NS,0.073
AL,Shelby,2000,0.022104,NS,0.216,0.001985,NS,0.061
AL,St. Clair,2000,0.019136,NS,0.278,0.001985,NS,0.065
AL,Sumter,2000,-0.00743,NS,0.643,0.001985,NS,0.061
AL,Talladega,2000,0.018998,NS,0.291,0.001985,NS,0.074
AL,Tuscaloosa,2000,0.016943,NS,0.347,0.00179,NS,0.231
AL,Walker,2000,0.004461,NS,0.747,0.001985,NS,0.065
AL,Winston,2000,0.006127,NS,0.701,0.001985,NS,0.063
AR,Benton,2000,0.000244,NS,0.978,0.00147,NS,0.482
AR,Bradley,2000,-0.001447,NS,0.89,0.00147,NS,0.513
AR,Calhoun,2000,-0.01282,NS,0.431,-0.003605,HL,0.046
AR,Carroll,2000,0.000304,NS,0.976,0.00147,NS,0.488
AR,Clay,2000,-0.000203,NS,0.986,0.00147,NS,0.495
AR,Columbia,2000,-0.001175,NS,0.923,0.00147,NS,0.503
AR,Craighead,2000,0.000335,NS,0.977,0.00147,NS,0.507
AR,Crittenden,2000,-0.000156,NS,0.986,0.000443,NS,0.912
AR,Cross,2000,-0.003811,NS,0.799,0.00147,NS,0.507
