zone,year,mp_count,bodies_count
US-Mexico Border,1980,7,14
US-Mexico Border,1981,2,19
US-Mexico Border,1982,2,10
US-Mexico Border,1983,10,21
US-Mexico Border,1984,9,24
US-Mexico Border,1985,8,37
US-Mexico Border,1986,8,35
US-Mexico Border,1987,8,23
US-Mexico Border,1988,7,35
US-Mexico Border,1989,3,25
US-Mexico Border,1990,8,20
US-Mexico Border,1991,12,24
US-Mexico Border,1992,7,23
US-Mexico Border,1993,13,29
US-Mexico Border,1994,11,25
US-Mexico Border,1995,19,35
US-Mexico Border,1996,16,37
US-Mexico Border,1997,20,50
US-Mexico Border,1998,13,53
US-Mexico Border,1999,14,49
US-Mexico Border,2000,18,50
US-Mexico Border,2001,19,73
US-Mexico Border,2002,18,65
US-Mexico Border,2003,15,72
US-Mexico Border,2004,25,74
US-Mexico Border,2005,36,83
US-Mexico Border,2006,45,82
US-Mexico Border,2007,49,103
US-Mexico Border,2008,52,84
US-Mexico Border,2009,82,111
US-Mexico Border,2010,93,92
US-Mexico Border,2011,107,118
US-Mexico Border,2012,53,152
US-Mexico Border,2013,56,121
US-Mexico Border,2014,43,137
US-Mexico Border,2015,58,75
US-Mexico Border,2016,51,86
US-Mexico Border,2017,88,144
US-Mexico Border,2018,59,101
US-Mexico Border,2019,50,86
US-Mexico Border,2020,49,132
US-Mexico Border,2021,109,217
US-Mexico Border,2022,112,169
US-Mexico Border,2023,34,121
US-Mexico Border,2024,17,117
US-Mexico Border,2025,7,24
I-35 Corridor,1980,1,1
I-35 Corridor,1981,5,3
I-35 Corridor,1982,4,4
I-35 Corridor,1983,8,2
I-35 Corridor,1984,3,6
I-35 Corridor,1985,9,9
I-35 Corridor,1986,5,12
I-35 Corridor,1987,5,7
I-35 Corridor,1988,6,9
I-35 Corridor,1989,13,5
I-35 Corridor,1990,3,8
I-35 Corridor,1991,2,1
I-35 Corridor,1992,4,1
I-35 Corridor,1993,4,5
I-35 Corridor,1994,7,1
I-35 Corridor,1995,6,2
I-35 Corridor,1996,4,5
I-35 Corridor,1997,7,10
I-35 Corridor,1998,8,8
I-35 Corridor,1999,2,1
I-35 Corridor,2000,6,8
I-35 Corridor,2001,14,6
I-35 Corridor,2002,7,12
I-35 Corridor,2003,8,7
I-35 Corridor,2004,10,9
I-35 Corridor,2005,6,12
I-35 Corridor,2006,17,7
I-35 Corridor,2007,15,25
I-35 Corridor,2008,11,17
I-35 Corridor,2009,5,24
I-35 Corridor,2010,19,9
I-35 Corridor,2011,12,18
I-35 Corridor,2012,10,20
I-35 Corridor,2013,11,10
I-35 Corridor,2014,16,8
I-35 Corridor,2015,20,15
I-35 Corridor,2016,23,3
I-35 Corridor,2017,24,5
I-35 Corridor,2018,29,3
I-35 Corridor,2019,29,7
I-35 Corridor,2020,23,11
I-35 Corridor,2021,73,14
I-35 Corridor,2022,90,16
I-35 Corridor,2023,122,8
I-35 Corridor,2024,145,17
I-35 Corridor,2025,68,13
Pacific Northwest,1980,7,2
Pacific Northwest,1981,4,1
Pacific Northwest,1982,16,1
Pacific Northwest,1983,12,4
Pacific Northwest,1984,10,2
Pacific Northwest,1985,10,1
Pacific Northwest,1986,9,2
Pacific Northwest,1987,10,3
Pacific Northwest,1988,6,6
Pacific Northwest,1989,13,5
Pacific Northwest,1990,15,1
Pacific Northwest,1991,13,3
Pacific Northwest,1992,11,3
Pacific Northwest,1993,11,3
Pacific Northwest,1994,10,4
Pacific Northwest,1995,13,5
Pacific Northwest,1996,11,3
Pacific Northwest,1997,9,7
Pacific Northwest,1998,6,5
Pacific Northwest,1999,12,4
Pacific Northwest,2000,9,2
Pacific Northwest,2001,9,1
Pacific Northwest,2002,9,3
Pacific Northwest,2003,14,4
