year,state,county,state_fips,county_fips,population,source
2020,Alabama,Alabama,01,000,5031864,census_county_est
2021,Alabama,Alabama,01,000,5050380,census_county_est
2022,Alabama,Alabama,01,000,5073903,census_county_est
2023,Alabama,Alabama,01,000,5108468,census_county_est
2020,Alabama,Autauga County,01,001,58915,census_county_est
2021,Alabama,Autauga County,01,001,59203,census_county_est
2022,Alabama,Autauga County,01,001,59726,census_county_est
2023,Alabama,Autauga County,01,001,60342,census_county_est
2020,Alabama,Baldwin County,01,003,233227,census_county_est
2021,Alabama,Baldwin County,01,003,239439,census_county_est
2022,Alabama,Baldwin County,01,003,246531,census_county_est
2023,Alabama,Baldwin County,01,003,253507,census_county_est
2020,Alabama,Barbour County,01,005,24969,census_county_est
2021,Alabama,Barbour County,01,005,24533,census_county_est
2022,Alabama,Barbour County,01,005,24700,census_county_est
2023,Alabama,Barbour County,01,005,24585,census_county_est
2020,Alabama,Bibb County,01,007,22188,census_county_est
2021,Alabama,Bibb County,01,007,22359,census_county_est
2022,Alabama,Bibb County,01,007,21986,census_county_est
2023,Alabama,Bibb County,01,007,21868,census_county_est
2020,Alabama,Blount County,01,009,59107,census_county_est
2021,Alabama,Blount County,01,009,59079,census_county_est
2022,Alabama,Blount County,01,009,59516,census_county_est
2023,Alabama,Blount County,01,009,59816,census_county_est
2020,Alabama,Bullock County,01,011,10229,census_county_est
2021,Alabama,Bullock County,01,011,10143,census_county_est
2022,Alabama,Bullock County,01,011,10143,census_county_est
2023,Alabama,Bullock County,01,011,9897,census_county_est
2020,Alabama,Butler County,01,013,19025,census_county_est
2021,Alabama,Butler County,01,013,18890,census_county_est
2022,Alabama,Butler County,01,013,18668,census_county_est
2023,Alabama,Butler County,01,013,18382,census_county_est
2020,Alabama,Calhoun County,01,015,116243,census_county_est
2021,Alabama,Calhoun County,01,015,115678,census_county_est
2022,Alabama,Calhoun County,01,015,115780,census_county_est
2023,Alabama,Calhoun County,01,015,116429,census_county_est
2020,Alabama,Chambers County,01,017,34651,census_county_est
2021,Alabama,Chambers County,01,017,34488,census_county_est
2022,Alabama,Chambers County,01,017,34164,census_county_est
2023,Alabama,Chambers County,01,017,34079,census_county_est
2020,Alabama,Cherokee County,01,019,24969,census_county_est
2021,Alabama,Cherokee County,01,019,25074,census_county_est
2022,Alabama,Cherokee County,01,019,25353,census_county_est
2023,Alabama,Cherokee County,01,019,25666,census_county_est
2020,Alabama,Chilton County,01,021,45057,census_county_est
2021,Alabama,Chilton County,01,021,45259,census_county_est
2022,Alabama,Chilton County,01,021,45848,census_county_est
2023,Alabama,Chilton County,01,021,46431,census_county_est
2020,Alabama,Choctaw County,01,023,12626,census_county_est
2021,Alabama,Choctaw County,01,023,12548,census_county_est
